"Category by Replication",22:55:19,"junho 17, 2019",,"Unnamed Project","Replications:",3,"Replication 1","Start Time:","50,00","Stop Time:","500,00",,"Time Units:","Seconds","Queue","Time","Waiting Time","Average",,"Half Width","Minimum","Maximum","App 3  GPU.Queue",,0.3222,,,"0,092458711",,,,0,,2.4710,"Model Filename:","C:\Users\Hadrizia\Desktop\proj_git","Page",1,"of",1
"Category by Replication",22:55:19,"junho 17, 2019",,"Unnamed Project","Replications:",3,"Replication 1","Start Time:","50,00","Stop Time:","500,00",,"Time Units:","Seconds","Queue","Time","Waiting Time","Average",,"Half Width","Minimum","Maximum","DB Server  Cache.Queue",,0.3451,,,"0,222903453",,,,0,,4.8341,"Model Filename:","C:\Users\Hadrizia\Desktop\proj_git","Page",1,"of",1
"Category by Replication",22:55:19,"junho 17, 2019",,"Unnamed Project","Replications:",3,"Replication 1","Start Time:","50,00","Stop Time:","500,00",,"Time Units:","Seconds","Queue","Time","Waiting Time","Average",,"Half Width","Minimum","Maximum","DB Server  CPU.Queue",,0.1916,,,"0,056133821",,,,0,,1.7067,"Model Filename:","C:\Users\Hadrizia\Desktop\proj_git","Page",1,"of",1
"Category by Replication",22:55:19,"junho 17, 2019",,"Unnamed Project","Replications:",3,"Replication 1","Start Time:","50,00","Stop Time:","500,00",,"Time Units:","Seconds","Queue","Time","Waiting Time","Average",,"Half Width","Minimum","Maximum","DB Server Disk.Queue",,0.1811,,,"0,045631851",,,,0,,1.6997,"Model Filename:","C:\Users\Hadrizia\Desktop\proj_git","Page",1,"of",1
"Category by Replication",22:55:19,"junho 17, 2019",,"Unnamed Project","Replications:",3,"Replication 1","Start Time:","50,00","Stop Time:","500,00",,"Time Units:","Seconds","Queue","Time","Waiting Time","Average",,"Half Width","Minimum","Maximum","Load Balancer.Queue",,0.1066,,,"0,024960637",,,,0,,1.0856,"Model Filename:","C:\Users\Hadrizia\Desktop\proj_git","Page",1,"of",1
"Category by Replication",22:55:19,"junho 17, 2019",,"Unnamed Project","Replications:",3,"Replication 1","Start Time:","50,00","Stop Time:","500,00",,"Time Units:","Seconds","Queue","Time","Waiting Time","Average",,"Half Width","Minimum","Maximum","Web Service CPU.Queue",,0.1384,,,"0,037049236",,,,0,,2.2629,"Model Filename:","C:\Users\Hadrizia\Desktop\proj_git","Page",1,"of",1
"Category by Replication",22:55:19,"junho 17, 2019",,"Unnamed Project","Replications:",3,"Replication 1","Start Time:","50,00","Stop Time:","500,00",,"Time Units:","Seconds","Queue","Other","Number Waiting","Average",,"Half Width","Minimum","Maximum","App 1  CPU.Queue",,0.2107,,,"0,061522538",,,,0,,4.0000,"Model Filename:","C:\Users\Hadrizia\Desktop\proj_git","Page",1,"of",1
"Category by Replication",22:55:19,"junho 17, 2019",,"Unnamed Project","Replications:",3,"Replication 1","Start Time:","50,00","Stop Time:","500,00",,"Time Units:","Seconds","Queue","Other","Number Waiting","Average",,"Half Width","Minimum","Maximum","App 1  Disk.Queue",,0.06617182,,,"(Insufficient)",,,,0,,3.0000,"Model Filename:","C:\Users\Hadrizia\Desktop\proj_git","Page",1,"of",1
"Category by Replication",22:55:19,"junho 17, 2019",,"Unnamed Project","Replications:",3,"Replication 1","Start Time:","50,00","Stop Time:","500,00",,"Time Units:","Seconds","Queue","Other","Number Waiting","Average",,"Half Width","Minimum","Maximum","App 2  Disk.Queue",,0.2447,,,"(Insufficient)",,,,0,,5.0000,"Model Filename:","C:\Users\Hadrizia\Desktop\proj_git","Page",1,"of",1
"Category by Replication",22:55:19,"junho 17, 2019",,"Unnamed Project","Replications:",3,"Replication 1","Start Time:","50,00","Stop Time:","500,00",,"Time Units:","Seconds","Queue","Other","Number Waiting","Average",,"Half Width","Minimum","Maximum","App 2 CPU.Queue",,0.3169,,,"0,083475320",,,,0,,6.0000,"Model Filename:","C:\Users\Hadrizia\Desktop\proj_git","Page",1,"of",1
